NOC,Sport,First_Year
NED,Table Tennis,Never
NED,Baseball,Never
NED,Rhythmic Gymnastics,Never
NED,Rugby Sevens,Never
NED,Trampolining,Never
NED,Beach Volleyball,2016.0
NED,Triathlon,Never
NED,Rugby,Never
NED,Lacrosse,Never
NED,Polo,Never
NED,Cricket,Never
NED,Ice Hockey,Never
NED,Racquets,Never
NED,Motorboating,Never
NED,Croquet,Never
NED,Figure Skating,Never
NED,Jeu De Paume,Never
NED,Roque,Never
NED,Basque Pelota,Never
NED,Alpinism,Never
NED,Aeronautics,Never
NED,Cycling Road,2020.0
NED,Artistic Gymnastics,Never
NED,Karate,Never
NED,Baseball/Softball,Never
NED,Trampoline Gymnastics,Never
NED,Marathon Swimming,2020.0
NED,Canoe Slalom,Never
NED,Surfing,Never
NED,Canoe Sprint,Never
NED,Cycling BMX Racing,2020.0
NED,Equestrian,2020.0
NED,Artistic Swimming,2024.0
NED,Cycling Track,2020.0
NED,Skateboarding,Never
NED,Cycling Mountain Bike,Never
NED,3x3 Basketball,2024.0
NED,Cycling BMX Freestyle,Never
NED,Sport Climbing,Never
NED,"Marathon Swimming, Swimming",Never
NED,Breaking,Never
NED,"Cycling Road, Cycling Track",Never
NED,"Cycling Road, Cycling Mountain Bike",Never
NED,"Cycling Road, Triathlon",Never
NED,"3x3 Basketball, Basketball",Never
FIN,Basketball,Never
FIN,Judo,Never
FIN,Football,Never
FIN,Tug-Of-War,Never
FIN,Athletics,1906.0
FIN,Swimming,1920.0
FIN,Badminton,Never
FIN,Sailing,1912.0
FIN,Gymnastics,1908.0
FIN,Art Competitions,1936.0
FIN,Handball,Never
FIN,Weightlifting,1968.0
FIN,Wrestling,1906.0
FIN,Water Polo,Never
FIN,Hockey,Never
FIN,Rowing,1952.0
FIN,Fencing,Never
FIN,Equestrianism,Never
FIN,Shooting,1912.0
FIN,Boxing,1932.0
FIN,Taekwondo,Never
FIN,Cycling,Never
FIN,Diving,Never
FIN,Canoeing,1948.0
FIN,Tennis,Never
FIN,Modern Pentathlon,1952.0
FIN,Golf,Never
FIN,Softball,Never
FIN,Archery,1972.0
FIN,Volleyball,Never
FIN,Synchronized Swimming,Never
FIN,Table Tennis,Never
FIN,Baseball,Never
FIN,Rhythmic Gymnastics,Never
FIN,Rugby Sevens,Never
FIN,Trampolining,Never
FIN,Beach Volleyball,Never
FIN,Triathlon,Never
FIN,Rugby,Never
FIN,Lacrosse,Never
FIN,Polo,Never
FIN,Cricket,Never
FIN,Ice Hockey,Never
FIN,Racquets,Never
FIN,Motorboating,Never
FIN,Croquet,Never
FIN,Figure Skating,1920.0
FIN,Jeu De Paume,Never
FIN,Roque,Never
FIN,Basque Pelota,Never
FIN,Alpinism,Never
FIN,Aeronautics,Never
FIN,Cycling Road,Never
FIN,Artistic Gymnastics,Never
FIN,Karate,Never
FIN,Baseball/Softball,Never
FIN,Trampoline Gymnastics,Never
FIN,Marathon Swimming,Never
FIN,Canoe Slalom,Never
FIN,Surfing,Never
FIN,Canoe Sprint,Never
FIN,Cycling BMX Racing,Never
FIN,Equestrian,Never
FIN,Artistic Swimming,Never
FIN,Cycling Track,Never
FIN,Skateboarding,Never
FIN,Cycling Mountain Bike,Never
FIN,3x3 Basketball,Never
FIN,Cycling BMX Freestyle,Never
FIN,Sport Climbing,Never
FIN,"Marathon Swimming, Swimming",Never
FIN,Breaking,Never
FIN,"Cycling Road, Cycling Track",Never
FIN,"Cycling Road, Cycling Mountain Bike",Never
FIN,"Cycling Road, Triathlon",Never
FIN,"3x3 Basketball, Basketball",Never
NOR,Basketball,Never
NOR,Judo,Never
NOR,Football,1936.0
NOR,Tug-Of-War,Never
NOR,Athletics,1900.0
NOR,Swimming,2008.0
NOR,Badminton,Never
NOR,Sailing,1912.0
NOR,Gymnastics,1906.0
NOR,Art Competitions,1920.0
NOR,Handball,1988.0
NOR,Weightlifting,1972.0
NOR,Wrestling,1904.0
NOR,Water Polo,Never
NOR,Hockey,Never
NOR,Rowing,1912.0
NOR,Fencing,2012.0
NOR,Equestrianism,1928.0
NOR,Shooting,1900.0
NOR,Boxing,1920.0
NOR,Taekwondo,2000.0
NOR,Cycling,1972.0
NOR,Diving,Never
NOR,Canoeing,1948.0
NOR,Tennis,1912.0
NOR,Modern Pentathlon,Never
NOR,Golf,Never
NOR,Softball,Never
NOR,Archery,Never
NOR,Volleyball,Never
NOR,Synchronized Swimming,Never
NOR,Table Tennis,Never
NOR,Baseball,Never
NOR,Rhythmic Gymnastics,Never
NOR,Rugby Sevens,Never
NOR,Trampolining,Never
NOR,Beach Volleyball,2020.0
NOR,Triathlon,2020.0
NOR,Rugby,Never
NOR,Lacrosse,Never
NOR,Polo,Never
NOR,Cricket,Never
NOR,Ice Hockey,Never
NOR,Racquets,Never
NOR,Motorboating,Never
NOR,Croquet,Never
NOR,Figure Skating,1920.0
NOR,Jeu De Paume,Never
NOR,Roque,Never
NOR,Basque Pelota,Never
NOR,Alpinism,Never
NOR,Aeronautics,Never
NOR,Cycling Road,Never
NOR,Artistic Gymnastics,Never
NOR,Karate,Never
NOR,Baseball/Softball,Never
NOR,Trampoline Gymnastics,Never
NOR,Marathon Swimming,Never
NOR,Canoe Slalom,Never
NOR,Surfing,Never
NOR,Canoe Sprint,Never
NOR,Cycling BMX Racing,Never
NOR,Equestrian,Never
NOR,Artistic Swimming,Never
NOR,Cycling Track,Never
NOR,Skateboarding,Never
NOR,Cycling Mountain Bike,Never
NOR,3x3 Basketball,Never
NOR,Cycling BMX Freestyle,Never
NOR,Sport Climbing,Never
NOR,"Marathon Swimming, Swimming",Never
NOR,Breaking,Never
NOR,"Cycling Road, Cycling Track",Never
NOR,"Cycling Road, Cycling Mountain Bike",Never
NOR,"Cycling Road, Triathlon",Never
NOR,"3x3 Basketball, Basketball",Never
ROU,Basketball,Never
ROU,Judo,1984.0
ROU,Football,Never
ROU,Tug-Of-War,Never
ROU,Athletics,1960.0
ROU,Swimming,1984.0
ROU,Badminton,Never
ROU,Sailing,Never
ROU,Gymnastics,1956.0
ROU,Art Competitions,Never
ROU,Handball,1972.0
ROU,Weightlifting,1984.0
ROU,Wrestling,1956.0
ROU,Water Polo,Never
ROU,Hockey,Never
ROU,Rowing,1972.0
ROU,Fencing,1956.0
ROU,Equestrianism,1936.0
ROU,Shooting,1952.0
ROU,Boxing,1952.0
ROU,Taekwondo,Never
ROU,Cycling,Never
ROU,Diving,Never
ROU,Canoeing,1956.0
ROU,Tennis,2016.0
ROU,Modern Pentathlon,Never
ROU,Golf,Never
ROU,Softball,Never
ROU,Archery,Never
ROU,Volleyball,1980.0
ROU,Synchronized Swimming,Never
ROU,Table Tennis,Never
ROU,Baseball,Never
ROU,Rhythmic Gymnastics,1984.0
ROU,Rugby Sevens,Never
ROU,Trampolining,Never
ROU,Beach Volleyball,Never
ROU,Triathlon,Never
ROU,Rugby,1924.0
ROU,Lacrosse,Never
ROU,Polo,Never
ROU,Cricket,Never
ROU,Ice Hockey,Never
ROU,Racquets,Never
ROU,Motorboating,Never
ROU,Croquet,Never
ROU,Figure Skating,Never
ROU,Jeu De Paume,Never
ROU,Roque,Never
ROU,Basque Pelota,Never
ROU,Alpinism,Never
ROU,Aeronautics,Never
ROU,Cycling Road,Never
ROU,Artistic Gymnastics,2024.0
ROU,Karate,Never
ROU,Baseball/Softball,Never
ROU,Trampoline Gymnastics,Never
ROU,Marathon Swimming,Never
ROU,Canoe Slalom,Never
ROU,Surfing,Never
ROU,Canoe Sprint,Never
ROU,Cycling BMX Racing,Never
ROU,Equestrian,Never
ROU,Artistic Swimming,Never
ROU,Cycling Track,Never
ROU,Skateboarding,Never
ROU,Cycling Mountain Bike,Never
ROU,3x3 Basketball,Never
ROU,Cycling BMX Freestyle,Never
ROU,Sport Climbing,Never
ROU,"Marathon Swimming, Swimming",Never
ROU,Breaking,Never
ROU,"Cycling Road, Cycling Track",Never
ROU,"Cycling Road, Cycling Mountain Bike",Never
ROU,"Cycling Road, Triathlon",Never
ROU,"3x3 Basketball, Basketball",Never
EST,Basketball,Never
EST,Judo,2000.0
EST,Football,Never
EST,Tug-Of-War,Never
EST,Athletics,1920.0
EST,Swimming,Never
EST,Badminton,Never
EST,Sailing,1928.0
EST,Gymnastics,Never
EST,Art Competitions,Never
EST,Handball,Never
EST,Weightlifting,1920.0
EST,Wrestling,1924.0
EST,Water Polo,Never
EST,Hockey,Never
EST,Rowing,2004.0
EST,Fencing,2020.0
EST,Equestrianism,Never
EST,Shooting,Never
EST,Boxing,1936.0
EST,Taekwondo,Never
EST,Cycling,1992.0
EST,Diving,Never
EST,Canoeing,Never
EST,Tennis,Never
EST,Modern Pentathlon,Never
EST,Golf,Never
EST,Softball,Never
EST,Archery,Never
EST,Volleyball,Never
EST,Synchronized Swimming,Never
EST,Table Tennis,Never
EST,Baseball,Never
EST,Rhythmic Gymnastics,Never
EST,Rugby Sevens,Never
EST,Trampolining,Never
EST,Beach Volleyball,Never
EST,Triathlon,Never
EST,Rugby,Never
EST,Lacrosse,Never
EST,Polo,Never
EST,Cricket,Never
EST,Ice Hockey,Never
EST,Racquets,Never
EST,Motorboating,Never
EST,Croquet,Never
EST,Figure Skating,Never
EST,Jeu De Paume,Never
EST,Roque,Never
EST,Basque Pelota,Never
EST,Alpinism,Never
EST,Aeronautics,Never
EST,Cycling Road,Never
EST,Artistic Gymnastics,Never
EST,Karate,Never
EST,Baseball/Softball,Never
EST,Trampoline Gymnastics,Never
EST,Marathon Swimming,Never
EST,Canoe Slalom,Never
EST,Surfing,Never
EST,Canoe Sprint,Never
EST,Cycling BMX Racing,Never
EST,Equestrian,Never
EST,Artistic Swimming,Never
EST,Cycling Track,Never
EST,Skateboarding,Never
EST,Cycling Mountain Bike,Never
EST,3x3 Basketball,Never
EST,Cycling BMX Freestyle,Never
EST,Sport Climbing,Never
EST,"Marathon Swimming, Swimming",Never
EST,Breaking,Never
EST,"Cycling Road, Cycling Track",Never
EST,"Cycling Road, Cycling Mountain Bike",Never
EST,"Cycling Road, Triathlon",Never
EST,"3x3 Basketball, Basketball",Never
FRA,Basketball,1948.0
FRA,Judo,1972.0
FRA,Football,1900.0
FRA,Tug-Of-War,1900.0
FRA,Athletics,1896.0
FRA,Swimming,1900.0
FRA,Badminton,Never
FRA,Sailing,1900.0
FRA,Gymnastics,1900.0
FRA,Art Competitions,1912.0
FRA,Handball,1992.0
FRA,Weightlifting,1906.0
FRA,Wrestling,1924.0
FRA,Water Polo,1900.0
FRA,Hockey,Never
FRA,Rowing,1900.0
FRA,Fencing,1896.0
FRA,Equestrianism,1900.0
FRA,Shooting,1900.0
FRA,Boxing,1920.0
FRA,Taekwondo,2000.0
FRA,Cycling,1896.0
FRA,Diving,1952.0
FRA,Canoeing,1936.0
FRA,Tennis,1900.0
FRA,Modern Pentathlon,1968.0
FRA,Golf,Never
FRA,Softball,Never
FRA,Archery,1900.0
FRA,Volleyball,2020.0
FRA,Synchronized Swimming,2000.0
FRA,Table Tennis,1992.0
FRA,Baseball,Never
FRA,Rhythmic Gymnastics,Never
FRA,Rugby Sevens,2020.0
FRA,Trampolining,Never
FRA,Beach Volleyball,Never
FRA,Triathlon,2020.0
FRA,Rugby,1900.0
FRA,Lacrosse,Never
FRA,Polo,1900.0
FRA,Cricket,1900.0
FRA,Ice Hockey,Never
FRA,Racquets,Never
FRA,Motorboating,1908.0
FRA,Croquet,1900.0
FRA,Figure Skating,Never
FRA,Jeu De Paume,Never
FRA,Roque,Never
FRA,Basque Pelota,Never
FRA,Alpinism,Never
FRA,Aeronautics,Never
FRA,Cycling Road,2024.0
FRA,Artistic Gymnastics,Never
FRA,Karate,2020.0
FRA,Baseball/Softball,Never
FRA,Trampoline Gymnastics,Never
FRA,Marathon Swimming,Never
FRA,Canoe Slalom,2024.0
FRA,Surfing,2024.0
FRA,Canoe Sprint,Never
FRA,Cycling BMX Racing,2024.0
FRA,Equestrian,2020.0
FRA,Artistic Swimming,Never
FRA,Cycling Track,2020.0
FRA,Skateboarding,Never
FRA,Cycling Mountain Bike,2024.0
FRA,3x3 Basketball,2024.0
FRA,Cycling BMX Freestyle,2024.0
FRA,Sport Climbing,Never
FRA,"Marathon Swimming, Swimming",Never
FRA,Breaking,2024.0
FRA,"Cycling Road, Cycling Track",Never
FRA,"Cycling Road, Cycling Mountain Bike",Never
FRA,"Cycling Road, Triathlon",Never
FRA,"3x3 Basketball, Basketball",Never
MAR,Basketball,Never
MAR,Judo,Never
MAR,Football,2024.0
MAR,Tug-Of-War,Never
MAR,Athletics,1960.0
MAR,Swimming,Never
MAR,Badminton,Never
MAR,Sailing,Never
MAR,Gymnastics,Never
MAR,Art Competitions,Never
MAR,Handball,Never
MAR,Weightlifting,Never
MAR,Wrestling,Never
MAR,Water Polo,Never
MAR,Hockey,Never
MAR,Rowing,Never
MAR,Fencing,Never
MAR,Equestrianism,Never
MAR,Shooting,Never
MAR,Boxing,1988.0
MAR,Taekwondo,Never
MAR,Cycling,Never
MAR,Diving,Never
MAR,Canoeing,Never
MAR,Tennis,Never
MAR,Modern Pentathlon,Never
MAR,Golf,Never
MAR,Softball,Never
MAR,Archery,Never
MAR,Volleyball,Never
MAR,Synchronized Swimming,Never
MAR,Table Tennis,Never
MAR,Baseball,Never
MAR,Rhythmic Gymnastics,Never
MAR,Rugby Sevens,Never
MAR,Trampolining,Never
MAR,Beach Volleyball,Never
MAR,Triathlon,Never
MAR,Rugby,Never
MAR,Lacrosse,Never
MAR,Polo,Never
MAR,Cricket,Never
MAR,Ice Hockey,Never
MAR,Racquets,Never
MAR,Motorboating,Never
MAR,Croquet,Never
MAR,Figure Skating,Never
MAR,Jeu De Paume,Never
MAR,Roque,Never
MAR,Basque Pelota,Never
MAR,Alpinism,Never
MAR,Aeronautics,Never
MAR,Cycling Road,Never
MAR,Artistic Gymnastics,Never
MAR,Karate,Never
MAR,Baseball/Softball,Never
MAR,Trampoline Gymnastics,Never
MAR,Marathon Swimming,Never
MAR,Canoe Slalom,Never
MAR,Surfing,Never
MAR,Canoe Sprint,Never
MAR,Cycling BMX Racing,Never
MAR,Equestrian,Never
MAR,Artistic Swimming,Never
MAR,Cycling Track,Never
MAR,Skateboarding,Never
MAR,Cycling Mountain Bike,Never
MAR,3x3 Basketball,Never
MAR,Cycling BMX Freestyle,Never
MAR,Sport Climbing,Never
MAR,"Marathon Swimming, Swimming",Never
MAR,Breaking,Never
MAR,"Cycling Road, Cycling Track",Never
MAR,"Cycling Road, Cycling Mountain Bike",Never
MAR,"Cycling Road, Triathlon",Never
MAR,"3x3 Basketball, Basketball",Never
ESP,Basketball,1984.0
ESP,Judo,1992.0
ESP,Football,1920.0
ESP,Tug-Of-War,Never
ESP,Athletics,1980.0
ESP,Swimming,1980.0
ESP,Badminton,2016.0
ESP,Sailing,1932.0
ESP,Gymnastics,2000.0
ESP,Art Competitions,Never
ESP,Handball,1996.0
ESP,Weightlifting,2016.0
ESP,Wrestling,2012.0
ESP,Water Polo,1992.0
ESP,Hockey,1960.0
ESP,Rowing,1984.0
ESP,Fencing,2008.0
ESP,Equestrianism,1928.0
ESP,Shooting,1952.0
ESP,Boxing,1972.0
ESP,Taekwondo,2000.0
ESP,Cycling,1992.0
ESP,Diving,Never
ESP,Canoeing,1976.0
ESP,Tennis,1988.0
ESP,Modern Pentathlon,Never
ESP,Golf,Never
ESP,Softball,Never
ESP,Archery,1992.0
ESP,Volleyball,Never
ESP,Synchronized Swimming,2008.0
ESP,Table Tennis,Never
ESP,Baseball,Never
ESP,Rhythmic Gymnastics,1992.0
ESP,Rugby Sevens,Never
ESP,Trampolining,Never
ESP,Beach Volleyball,2004.0
ESP,Triathlon,2012.0
ESP,Rugby,Never
ESP,Lacrosse,Never
ESP,Polo,1920.0
ESP,Cricket,Never
ESP,Ice Hockey,Never
ESP,Racquets,Never
ESP,Motorboating,Never
ESP,Croquet,Never
ESP,Figure Skating,Never
ESP,Jeu De Paume,Never
ESP,Roque,Never
ESP,Basque Pelota,1900.0
ESP,Alpinism,Never
ESP,Aeronautics,Never
ESP,Cycling Road,Never
ESP,Artistic Gymnastics,2020.0
ESP,Karate,2020.0
ESP,Baseball/Softball,Never
ESP,Trampoline Gymnastics,Never
ESP,Marathon Swimming,Never
ESP,Canoe Slalom,2020.0
ESP,Surfing,Never
ESP,Canoe Sprint,2020.0
ESP,Cycling BMX Racing,Never
ESP,Equestrian,Never
ESP,Artistic Swimming,2024.0
ESP,Cycling Track,Never
ESP,Skateboarding,Never
ESP,Cycling Mountain Bike,2020.0
ESP,3x3 Basketball,2024.0
ESP,Cycling BMX Freestyle,Never
ESP,Sport Climbing,2020.0
ESP,"Marathon Swimming, Swimming",Never
ESP,Breaking,Never
ESP,"Cycling Road, Cycling Track",Never
ESP,"Cycling Road, Cycling Mountain Bike",Never
ESP,"Cycling Road, Triathlon",Never
ESP,"3x3 Basketball, Basketball",Never
EGY,Basketball,Never
EGY,Judo,1984.0
EGY,Football,Never
EGY,Tug-Of-War,Never
EGY,Athletics,Never
EGY,Swimming,Never
EGY,Badminton,Never
EGY,Sailing,Never
EGY,Gymnastics,Never
EGY,Art Competitions,Never
EGY,Handball,Never
EGY,Weightlifting,1928.0
EGY,Wrestling,1928.0
EGY,Water Polo,Never
EGY,Hockey,Never
EGY,Rowing,Never
EGY,Fencing,2012.0
EGY,Equestrianism,Never
EGY,Shooting,Never
EGY,Boxing,2004.0
EGY,Taekwondo,2004.0
EGY,Cycling,Never
EGY,Diving,1928.0
EGY,Canoeing,Never
EGY,Tennis,Never
EGY,Modern Pentathlon,2020.0
EGY,Golf,Never
EGY,Softball,Never
EGY,Archery,Never
EGY,Volleyball,Never
EGY,Synchronized Swimming,Never
EGY,Table Tennis,Never
EGY,Baseball,Never
EGY,Rhythmic Gymnastics,Never
EGY,Rugby Sevens,Never
EGY,Trampolining,Never
EGY,Beach Volleyball,Never
EGY,Triathlon,Never
EGY,Rugby,Never
EGY,Lacrosse,Never
EGY,Polo,Never
EGY,Cricket,Never
EGY,Ice Hockey,Never
EGY,Racquets,Never
EGY,Motorboating,Never
EGY,Croquet,Never
EGY,Figure Skating,Never
EGY,Jeu De Paume,Never
EGY,Roque,Never
EGY,Basque Pelota,Never
EGY,Alpinism,Never
EGY,Aeronautics,Never
EGY,Cycling Road,Never
EGY,Artistic Gymnastics,Never
EGY,Karate,2020.0
EGY,Baseball/Softball,Never
EGY,Trampoline Gymnastics,Never
EGY,Marathon Swimming,Never
EGY,Canoe Slalom,Never
EGY,Surfing,Never
EGY,Canoe Sprint,Never
EGY,Cycling BMX Racing,Never
EGY,Equestrian,Never
EGY,Artistic Swimming,Never
EGY,Cycling Track,Never
EGY,Skateboarding,Never
EGY,Cycling Mountain Bike,Never
EGY,3x3 Basketball,Never
EGY,Cycling BMX Freestyle,Never
EGY,Sport Climbing,Never
EGY,"Marathon Swimming, Swimming",Never
EGY,Breaking,Never
EGY,"Cycling Road, Cycling Track",Never
EGY,"Cycling Road, Cycling Mountain Bike",Never
EGY,"Cycling Road, Triathlon",Never
EGY,"3x3 Basketball, Basketball",Never
IRI,Basketball,Never
IRI,Judo,Never
IRI,Football,Never
IRI,Tug-Of-War,Never
IRI,Athletics,2012.0
IRI,Swimming,Never
IRI,Badminton,Never
IRI,Sailing,Never
IRI,Gymnastics,Never
IRI,Art Competitions,Never
IRI,Handball,Never
IRI,Weightlifting,1948.0
IRI,Wrestling,1952.0
IRI,Water Polo,Never
IRI,Hockey,Never
IRI,Rowing,Never
IRI,Fencing,Never
IRI,Equestrianism,Never
IRI,Shooting,2020.0
IRI,Boxing,Never
IRI,Taekwondo,2000.0
IRI,Cycling,Never
IRI,Diving,Never
IRI,Canoeing,Never
IRI,Tennis,Never
IRI,Modern Pentathlon,Never
IRI,Golf,Never
IRI,Softball,Never
IRI,Archery,Never
IRI,Volleyball,Never
IRI,Synchronized Swimming,Never
IRI,Table Tennis,Never
IRI,Baseball,Never
IRI,Rhythmic Gymnastics,Never
IRI,Rugby Sevens,Never
IRI,Trampolining,Never
IRI,Beach Volleyball,Never
IRI,Triathlon,Never
IRI,Rugby,Never
IRI,Lacrosse,Never
IRI,Polo,Never
IRI,Cricket,Never
IRI,Ice Hockey,Never
IRI,Racquets,Never
IRI,Motorboating,Never
IRI,Croquet,Never
IRI,Figure Skating,Never
IRI,Jeu De Paume,Never
IRI,Roque,Never
IRI,Basque Pelota,Never
IRI,Alpinism,Never
IRI,Aeronautics,Never
IRI,Cycling Road,Never
IRI,Artistic Gymnastics,Never
IRI,Karate,2020.0
IRI,Baseball/Softball,Never
IRI,Trampoline Gymnastics,Never
IRI,Marathon Swimming,Never
IRI,Canoe Slalom,Never
IRI,Surfing,Never
IRI,Canoe Sprint,Never
IRI,Cycling BMX Racing,Never
IRI,Equestrian,Never
IRI,Artistic Swimming,Never
IRI,Cycling Track,Never
IRI,Skateboarding,Never
IRI,Cycling Mountain Bike,Never
IRI,3x3 Basketball,Never
IRI,Cycling BMX Freestyle,Never
IRI,Sport Climbing,Never
IRI,"Marathon Swimming, Swimming",Never
IRI,Breaking,Never
IRI,"Cycling Road, Cycling Track",Never
IRI,"Cycling Road, Cycling Mountain Bike",Never
IRI,"Cycling Road, Triathlon",Never
IRI,"3x3 Basketball, Basketball",Never
BUL,Basketball,1976.0
BUL,Judo,1980.0
BUL,Football,1956.0
BUL,Tug-Of-War,Never
BUL,Athletics,1972.0
BUL,Swimming,1988.0
BUL,Badminton,Never
BUL,Sailing,Never
BUL,Gymnastics,1960.0
BUL,Art Competitions,Never
BUL,Handball,Never
BUL,Weightlifting,1972.0
BUL,Wrestling,1956.0
BUL,Water Polo,Never
BUL,Hockey,Never
BUL,Rowing,1976.0
BUL,Fencing,Never
BUL,Equestrianism,1980.0
BUL,Shooting,1964.0
BUL,Boxing,1952.0
BUL,Taekwondo,2024.0
BUL,Cycling,Never
BUL,Diving,Never
BUL,Canoeing,1972.0
BUL,Tennis,1988.0
BUL,Modern Pentathlon,Never
BUL,Golf,Never
BUL,Softball,Never
BUL,Archery,Never
BUL,Volleyball,1980.0
BUL,Synchronized Swimming,Never
BUL,Table Tennis,Never
BUL,Baseball,Never
BUL,Rhythmic Gymnastics,1988.0
BUL,Rugby Sevens,Never
BUL,Trampolining,Never
BUL,Beach Volleyball,Never
BUL,Triathlon,Never
